country_name,country_code,macroregion,subregion,income_classification_2017,population_millions,cost_energy,cost_nutrition,cost_healthy,percent_unafford_energy,percent_unafford_nutrition,percent_unafford_healthy,num_unafford_energy,num_unafford_nutrition,num_unafford_healthy,100_percent_unafford_energy,100_percent_unafford_nutrition,100_percent_unafford_healthy,100_num_unafford_energy,100_num_unafford_nutrition,100_num_unafford_healthy,mean_percent_unafford_energy,mean_percent_unafford_nutrition,mean_percent_unafford_healthy,mean_num_unafford_energy,mean_num_unafford_nutrition,mean_num_unafford_healthy,98_cost_nutrition,cost_flex,cost_pesc,cost_veg,cost_vgn
Aruba,ABW,Americas,Latin America and the Caribbean,High-income,0.1,1.1,2.8,4.0,,,,,,,,,,,,,,,,,,,3.2,3.6,3.7,3.6,3.6
Angola,AGO,Africa,Sub-Saharan Africa,Lower-middle,29.8,1.4,3.2,4.6,48.10%,81.70%,90.50%,14.3,24.3,27,29.10%,64.70%,78.00%,8.7,19.3,23.3,65.90%,91.50%,96.20%,19.6,27.3,28.7,4,4.2,4.3,4.2,4.1
Albania,ALB,Europe,Southern Europe,Upper-middle,2.9,0.8,2.6,4.3,0.00%,14.60%,42.00%,0.0,0.4,1.2,0.00%,3.00%,16.10%,0.0,0.1,0.5,3.50%,61.50%,86.10%,0.1,1.8,2.5,3,4.2,4.4,3.9,3.7
United Arab Emirates,ARE,Asia,Western Asia,High-income,9.5,0.7,1.8,3.4,,,,,,,,,,,,,,,,,,,2.2,3.1,3.1,3.0,2.8
Argentina,ARG,Americas,Latin America and the Caribbean,High-income,44.0,0.7,2.6,3.5,0.20%,4.60%,8.60%,0.1,2,3.8,0.10%,1.80%,3.20%,0.1,0.8,1.4,5.20%,50.90%,65.10%,2.3,22.4,28.7,3.2,4.7,5.3,4.4,4.4
Armenia,ARM,Asia,Western Asia,Upper-middle,2.9,1.0,2.2,3.6,0.20%,8.30%,36.60%,0.0,0.2,1.1,0.00%,1.20%,8.90%,0.0,0.0,0.3,9.50%,63.90%,88.30%,0.3,1.9,2.6,2.6,3.3,3.2,3.1,3.0
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,High-income,0.1,0.9,3.0,4.5,,,,,,,,,,,,,,,,,,,3.5,4.5,4.8,4.6,4.7
Australia,AUS,Oceania,Australia and New Zealand,High-income,24.6,0.3,1.6,2.3,0.20%,0.50%,0.70%,0.1,0.1,0.2,0.20%,0.50%,0.50%,0.1,0.1,0.1,0.50%,1.50%,2.50%,0.1,0.4,0.6,2,2.2,2.4,2.2,2.3
Austria,AUT,Europe,Western Europe,High-income,8.8,0.3,2.3,2.9,0.20%,0.40%,0.50%,0.0,0,0,0.20%,0.30%,0.40%,0.0,0.0,0,0.30%,2.60%,4.60%,0.0,0.2,0.4,2.8,2.9,3.0,2.8,2.9
Azerbaijan,AZE,Asia,Western Asia,Upper-middle,9.9,0.8,1.8,2.8,0.00%,0.00%,0.00%,0.0,0,0,0.00%,0.00%,0.00%,0.0,0.0,0,0.00%,0.00%,2.20%,0.0,0,0.2,2.2,2.7,2.7,2.5,2.4
